email,message,reason,timestamp,is_read
test@gmail.com,Password reset required,"Common password, No uppercase letter, No digit, No special character",2025-09-22 22:26:10,true
demo@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 22:26:43,true
demo@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 22:33:34,true
navaneeth@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 23:02:46,false
password@gmail.com,Password reset required,"Too short, No uppercase letter, No digit, No special character",2025-09-22 23:02:46,false
nandu@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 23:02:47,false
test@gmail.com,Password reset required,"Common password, No uppercase letter, No digit, No special character",2025-09-22 23:03:15,true
navaneeth@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 23:03:16,false
password@gmail.com,Password reset required,"Too short, No uppercase letter, No digit, No special character",2025-09-22 23:03:16,false
vignesh@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 23:03:18,false
nandu@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-09-22 23:03:19,false
demo@gmail.com,Password reset required,"Uses personal info, No uppercase letter, No digit, No special character",2025-09-22 23:03:32,false
test@gmail.com,Password reset required,Uses personal info,2025-09-24 14:38:27,true
shiva@gmail.com,Password reset required,"Too short, No uppercase letter, No digit, No special character",2025-09-24 15:03:12,true
isaac917@gmail.com,Password reset required,"Uses personal info, No digit",2025-09-25 00:42:21,false
avi942@gmail.com,Password reset required,"Common password, Uses personal info, Too short, No special character",2025-09-25 00:42:23,false
isaac917@gmail.com,Password reset required,No digit,2025-09-25 00:50:45,false
faqid165@gmail.com,Password reset required,"Common password, No special character",2025-09-25 00:51:16,false
navaneethms182@gmail.com,Password reset required,Uses personal info,2025-09-25 00:58:08,true
testuser@gmail.com,Password reset required,"Uses personal info, Too short, No uppercase letter, No digit, No special character",2025-10-29 21:14:31,false
